2026-05-21 15:08:35 | INFO     | app.schemas.schemas | MessageResponse schema defined successfully
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining TenantSchema
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | TenantSchema defined successfully
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining ConfigSection schema
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | ConfigSection schema defined successfully
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining TenantConfigResponse schema
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | TenantConfigResponse schema defined successfully
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining PlaceholderResponse schema
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | PlaceholderResponse schema defined successfully
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | All schema models initialized successfully
2026-05-21 15:08:35 | INFO     | app.db.session | Logger initialized successfully for module: app.db.session
2026-05-21 15:08:35 | INFO     | app.db.session | Database session module initialization started
2026-05-21 15:08:35 | DEBUG    | app.db.session | Creating SQLAlchemy session factory
2026-05-21 15:08:35 | INFO     | app.db.session | SQLAlchemy session factory created successfully
2026-05-21 15:08:35 | INFO     | app.models.tables | Logger initialized successfully for module: app.models.tables
2026-05-21 15:08:35 | INFO     | app.models.tables | Initializing database table models
2026-05-21 15:08:35 | DEBUG    | app.models.tables | Defining Role model
2026-05-21 15:08:35 | INFO     | app.models.tables | Role model defined successfully
2026-05-21 15:08:35 | DEBUG    | app.models.tables | Defining Tenant model
2026-05-21 15:08:35 | INFO     | app.models.tables | Tenant model defined successfully
2026-05-21 15:08:35 | DEBUG    | app.models.tables | Defining User model
2026-05-21 15:08:35 | INFO     | app.models.tables | User model defined successfully
2026-05-21 15:08:35 | DEBUG    | app.models.tables | Defining Config model
2026-05-21 15:08:35 | INFO     | app.models.tables | Config model defined successfully
2026-05-21 15:08:35 | INFO     | app.models.tables | All database table models initialized successfully
2026-05-21 15:08:35 | INFO     | app.core.security | Logger initialized successfully for module: app.core.security
2026-05-21 15:08:35 | INFO     | app.services.auth_service | Logger initialized successfully for module: app.services.auth_service
2026-05-21 15:08:35 | INFO     | app.routers.auth | Logger initialized successfully for module: app.routers.auth
